#  theta    R       E_CP
   105     5.2      -31.10
   105     5.3      -27.60
   105     5.4      -24.54
   105     5.5      -21.85
   105     5.6      -19.51
   105     5.7      -17.44
   105     5.8      -15.63
   105     5.9      -14.04
   105     6.0      -12.63
   105     6.1      -11.39
   105     6.2      -10.30
   105     6.3       -9.32
   105     6.4       -8.45
   105     6.5       -7.67
   105     6.6       -6.98
   105     6.7       -6.36
   105     6.8       -5.80
   105     6.9       -5.29
   105     7.0       -4.84
   105     7.1       -4.44
   105     7.2       -4.07
   105     7.3       -3.74
   105     7.4       -3.44
   105     7.5       -3.17
   105     7.6       -2.92
   105     7.7       -2.70
   105     7.8       -2.49
   105     7.9       -2.31
   105     8.0       -2.14
   105     8.1       -1.98
   105     8.2       -1.84
   105     8.3       -1.71
   105     8.4       -1.59
   105     8.5       -1.48
   105     8.6       -1.38
   105     8.7       -1.29
   105     8.8       -1.21
   105     8.9       -1.13
   105     9.0       -1.06
   105     9.1       -0.99
   105     9.2       -0.93
   105     9.3       -0.87
   105     9.4       -0.82
   105     9.5       -0.77
   105     9.6       -0.72
   105     9.7       -0.68
   105     9.8       -0.64
   105     9.9       -0.61
   105    10.0       -0.57

   120     2.7     4049.51
   120     2.8     2811.72
   120     2.9     1907.48
   120     3.0     1254.18
   120     3.1      788.24
   120     3.2      460.99
   120     3.3      235.44
   120     3.4       83.59
   120     3.5      -15.50
   120     3.6      -77.33
   120     3.7     -113.10
   120     3.8     -131.22
   120     3.9     -137.44
   120     4.0     -136.09
   120     4.1     -129.98
   120     4.2     -121.27
   120     4.3     -111.20
   120     4.4     -100.80
   120     4.5      -90.56
   120     4.6      -80.91
   120     4.7      -71.96
   120     4.8      -63.82
   120     4.9      -56.52
   120     5.0      -50.01
   120     5.1      -44.26
   120     5.2      -39.18
   120     5.3      -34.72
   120     5.4      -30.81
   120     5.5      -27.38
   120     5.6      -24.36
   120     5.7      -21.72
   120     5.8      -19.39
   120     5.9      -17.35
   120     6.0      -15.56
   120     6.1      -13.98
   120     6.2      -12.58
   120     6.3      -11.35
   120     6.4      -10.25
   120     6.5       -9.26
   120     6.6       -8.40
   120     6.7       -7.63
   120     6.8       -6.95
   120     6.9       -6.34
   120     7.0       -5.80
   120     7.1       -5.30
   120     7.2       -4.85
   120     7.3       -4.44
   120     7.4       -4.08
   120     7.5       -3.75
   120     7.6       -3.44
   120     7.7       -3.17
   120     7.8       -2.93
   120     7.9       -2.70
   120     8.0       -2.50
   120     8.1       -2.31
   120     8.2       -2.14
   120     8.3       -1.99
   120     8.4       -1.85
   120     8.5       -1.72
   120     8.6       -1.60
   120     8.7       -1.49
   120     8.8       -1.39
   120     8.9       -1.30
   120     9.0       -1.21
   120     9.1       -1.13
   120     9.2       -1.06
   120     9.3       -0.99
   120     9.4       -0.93
   120     9.5       -0.88
   120     9.6       -0.82
   120     9.7       -0.77
   120     9.8       -0.73
   120     9.9       -0.69
   120    10.0       -0.65

   135     2.7    11423.96
   135     2.8     8555.11
   135     2.9     6334.03
   135     3.0     4619.40
   135     3.1     3308.00
   135     3.2     2318.33
   135     3.3     1582.95
   135     3.4     1045.50
   135     3.5      659.12
   135     3.6      386.63
   135     3.7      198.39
   135     3.8       71.62
   135     3.9      -11.04
   135     4.0      -62.49
   135     4.1      -92.19
   135     4.2     -107.08
   135     4.3     -112.18
   135     4.4     -110.95
   135     4.5     -105.91
   135     4.6      -98.70
   135     4.7      -90.48
   135     4.8      -81.99
   135     4.9      -73.69
   135     5.0      -65.86
   135     5.1      -58.64
   135     5.2      -52.09
   135     5.3      -46.21
   135     5.4      -40.98
   135     5.5      -36.35
   135     5.6      -32.27
   135     5.7      -28.67
   135     5.8      -25.52
   135     5.9      -22.74
   135     6.0      -20.31
   135     6.1      -18.16
   135     6.2      -16.28
   135     6.3      -14.61
   135     6.4      -13.14
   135     6.5      -11.84
   135     6.6      -10.69
   135     6.7       -9.66
   135     6.8       -8.72
   135     6.9       -7.93
   135     7.0       -7.20
   135     7.1       -6.56
   135     7.2       -5.98
   135     7.3       -5.47
   135     7.4       -5.01
   135     7.5       -4.59
   135     7.6       -4.22
   135     7.7       -3.89
   135     7.8       -3.58
   135     7.9       -3.30
   135     8.0       -3.04
   135     8.1       -2.80
   135     8.2       -2.59
   135     8.3       -2.39
   135     8.4       -2.22
   135     8.5       -2.06
   135     8.6       -1.91
   135     8.7       -1.77
   135     8.8       -1.65
   135     8.9       -1.54
   135     9.0       -1.43
   135     9.1       -1.34
   135     9.2       -1.25
   135     9.3       -1.17
   135     9.4       -1.10
   135     9.5       -1.03
   135     9.6       -0.96
   135     9.7       -0.90
   135     9.8       -0.85
   135     9.9       -0.80
   135    10.0       -0.75

   150     2.7    28311.31
   150     2.8    22047.25
   150     2.9    17254.31
   150     3.0    13414.18
   150     3.1    10241.53
   150     3.2     7640.51
   150     3.3     5569.24
   150     3.4     3970.74
   150     3.5     2768.75
   150     3.6     1884.77
   150     3.7     1246.60
   150     3.8      793.73
   150     3.9      477.85
   150     4.0      261.62
   150     4.1      116.79
   150     4.2       22.45
   150     4.3      -36.60
   150     4.4      -71.46
   150     4.5      -89.94
   150     4.6      -97.62
   150     4.7      -98.39
   150     4.8      -94.90
   150     4.9      -88.99
   150     5.0      -81.91
   150     5.1      -74.40
   150     5.2      -66.98
   150     5.3      -59.91
   150     5.4      -53.37
   150     5.5      -47.43
   150     5.6      -42.09
   150     5.7      -37.34
   150     5.8      -33.14
   150     5.9      -29.44
   150     6.0      -26.19
   150     6.1      -23.33
   150     6.2      -20.82
   150     6.3      -18.61
   150     6.4      -16.65
   150     6.5      -14.95
   150     6.6      -13.43
   150     6.7      -12.10
   150     6.8      -10.91
   150     6.9       -9.87
   150     7.0       -8.93
   150     7.1       -8.10
   150     7.2       -7.36
   150     7.3       -6.69
   150     7.4       -6.10
   150     7.5       -5.59
   150     7.6       -5.10
   150     7.7       -4.68
   150     7.8       -4.29
   150     7.9       -3.95
   150     8.0       -3.64
   150     8.1       -3.36
   150     8.2       -3.10
   150     8.3       -2.86
   150     8.4       -2.64
   150     8.5       -2.44
   150     8.6       -2.26
   150     8.7       -2.10
   150     8.8       -1.95
   150     8.9       -1.81
   150     9.0       -1.68
   150     9.1       -1.57
   150     9.2       -1.46
   150     9.3       -1.36
   150     9.4       -1.28
   150     9.5       -1.19
   150     9.6       -1.12
   150     9.7       -1.05
   150     9.8       -0.98
   150     9.9       -0.92
   150    10.0       -0.87

   165     2.7    54552.21
