#  theta    R       E_CP
   105     3.9    -119.20
   105     4.0    -114.74
   105     4.1    -107.59
   105     4.2     -99.09
   105     4.3     -90.13
   105     4.4     -81.25
   105     4.5     -72.79
   105     4.6     -64.93
   105     4.7     -57.76
   105     4.8     -51.29
   105     4.9     -45.51
   105     5.0     -40.38
   105     5.1     -35.84
   105     5.2     -31.83
   105     5.3     -28.31
   105     5.4     -25.21
   105     5.5     -22.48
   105     5.6     -20.08
   105     5.7     -17.97
   105     5.8     -16.11
   105     5.9     -14.47
   105     6.0     -13.01
   105     6.1     -11.73
   105     6.2     -10.59
   105     6.3      -9.58
   105     6.4      -8.68
   105     6.5      -7.88
   105     6.6      -7.16
   105     6.7      -6.53
   105     6.8      -5.95
   105     6.9      -5.44
   105     7.0      -4.97
   105     7.1      -4.55
   105     7.2      -4.18
   105     7.3      -3.84
   105     7.4      -3.53
   105     7.5      -3.25
   105     7.6      -2.99
   105     7.7      -2.76
   105     7.8      -2.55
   105     7.9      -2.36
   105     8.0      -2.19
   105     8.1      -2.03
   105     8.2      -1.88
   105     8.3      -1.75
   105     8.4      -1.63
   105     8.5      -1.52
   105     8.6      -1.41
   105     8.7      -1.32
   105     8.8      -1.23
   105     8.9      -1.15
   105     9.0      -1.08
   105     9.1      -1.01
   105     9.2      -0.95
   105     9.3      -0.89
   105     9.4      -0.84
   105     9.5      -0.79
   105     9.6      -0.74
   105     9.7      -0.70
   105     9.8      -0.66
   105     9.9      -0.62
   105    10.0      -0.58

   120     2.7    7851.57
   120     2.8    5607.04
   120     2.9    3954.87
   120     3.0    2748.48
   120     3.1    1875.08
   120     3.2    1248.65
   120     3.3     804.04
   120     3.4     492.43
   120     3.5     276.98
   120     3.6     130.85
   120     3.7      34.08
   120     3.8     -27.90
   120     3.9     -65.58
   120     4.0     -86.60
   120     4.1     -96.39
   120     4.2     -98.81
   120     4.3     -96.56
   120     4.4     -91.53
   120     4.5     -84.99
   120     4.6     -77.79
   120     4.7     -70.47
   120     4.8     -63.40
   120     4.9     -56.76
   120     5.0     -50.65
   120     5.1     -45.11
   120     5.2     -40.15
   120     5.3     -35.72
   120     5.4     -31.79
   120     5.5     -28.31
   120     5.6     -25.24
   120     5.7     -22.54
   120     5.8     -20.15
   120     5.9     -18.04
   120     6.0     -16.18
   120     6.1     -14.54
   120     6.2     -13.08
   120     6.3     -11.79
   120     6.4     -10.65
   120     6.5      -9.63
   120     6.6      -8.72
   120     6.7      -7.92
   120     6.8      -7.19
   120     6.9      -6.55
   120     7.0      -5.97
   120     7.1      -5.46
   120     7.2      -5.00
   120     7.3      -4.57
   120     7.4      -4.20
   120     7.5      -3.85
   120     7.6      -3.54
   120     7.7      -3.26
   120     7.8      -3.01
   120     7.9      -2.78
   120     8.0      -2.57
   120     8.1      -2.38
   120     8.2      -2.20
   120     8.3      -2.04
   120     8.4      -1.89
   120     8.5      -1.76
   120     8.6      -1.64
   120     8.7      -1.53
   120     8.8      -1.42
   120     8.9      -1.33
   120     9.0      -1.24
   120     9.1      -1.16
   120     9.2      -1.09
   120     9.3      -1.02
   120     9.4      -0.95
   120     9.5      -0.90
   120     9.6      -0.84
   120     9.7      -0.79
   120     9.8      -0.74
   120     9.9      -0.70
   120    10.0      -0.66

   135     2.7   20589.88
   135     2.8   15170.95
   135     2.9   11065.45
   135     3.0    7986.63
   135     3.1    5699.39
   135     3.2    4015.52
   135     3.3    2787.07
   135     3.4    1899.16
   135     3.5    1263.70
